subject_1_code,subject_1_name,subject_2_code,subject_2_name,similarity_score
CBK90497,French Language and Culture,CBK90490,French Language and Culture,1.0000000000000002
CBK90495,Japanese Language and Culture,CBK90488,Japanese Language and Culture,1.0000000000000002
CBK90499,German Language and Culture,CBK90492,German Language and Culture,1.0000000000000002
CBK90500,Italian Language and Culture,CBK90493,Italian Language and Culture,1.0
CBK90494,Chinese Language and Culture,CBK90487,Chinese Language and Culture,1.0
CBK90498,Spanish Language and Culture,CBK90491,Spanish Language and Culture,1.0
97501,Spanish Language and Culture 1,97502,Spanish Language and Culture 2,0.9999999999999998
41001,Cloud Computing and Software as a Service,42904,Cloud Computing and Software as a Service,0.9978968576029812
97401,French Language and Culture 1,97402,French Language and Culture 2,0.9938848350626556
97403,French Language and Culture 3,97404,French Language and Culture 4,0.9936824295761137
97104,Chinese Language and Culture 4,97106,Chinese Language and Culture 6,0.9921756544646084
97503,Spanish Language and Culture 3,97504,Spanish Language and Culture 4,0.9918130992881025
97401,French Language and Culture 1,97403,French Language and Culture 3,0.9914466707878961
97505,Spanish Language and Culture 5,97506,Spanish Language and Culture 6,0.9912509009141398
97104,Chinese Language and Culture 4,97105,Chinese Language and Culture 5,0.9859531249500993
97402,French Language and Culture 2,97403,French Language and Culture 3,0.9853838108694469
97401,French Language and Culture 1,97404,French Language and Culture 4,0.9850786220743909
97102,Chinese Language and Culture 2,97105,Chinese Language and Culture 5,0.9833779010685413
97105,Chinese Language and Culture 5,97106,Chinese Language and Culture 6,0.9828969167415058
97202,Japanese Language and Culture 2,97204,Japanese Language and Culture 4,0.9826751481835072
97405,French Language and Culture 5,97406,French Language and Culture 6,0.9803467773966047
97103,Chinese Language and Culture 3,97105,Chinese Language and Culture 5,0.9796168593099526
97402,French Language and Culture 2,97404,French Language and Culture 4,0.9790547038241522
97803,Italian Language and Culture 3,97804,Italian Language and Culture 4,0.9769865616761907
31256,Image Processing and Pattern Recognition,42177,Image Processing and Pattern Recognition,0.9746670828290049
97802,Italian Language and Culture 2,97803,Italian Language and Culture 3,0.9746229828432916
97404,French Language and Culture 4,97406,French Language and Culture 6,0.9705405777562608
97102,Chinese Language and Culture 2,97104,Chinese Language and Culture 4,0.9694586390053141
97404,French Language and Culture 4,97405,French Language and Culture 5,0.9686980814035511
97102,Chinese Language and Culture 2,97103,Chinese Language and Culture 3,0.9682123560020028
97802,Italian Language and Culture 2,97804,Italian Language and Culture 4,0.9676790142942779
97403,French Language and Culture 3,97406,French Language and Culture 6,0.9672291162404009
97401,French Language and Culture 1,97406,French Language and Culture 6,0.9672291162404009
97102,Chinese Language and Culture 2,97106,Chinese Language and Culture 6,0.9664535595796877
97103,Chinese Language and Culture 3,97104,Chinese Language and Culture 4,0.965721821455479
97801,Italian Language and Culture 1,97802,Italian Language and Culture 2,0.9654504395569791
97403,French Language and Culture 3,97405,French Language and Culture 5,0.9653929064417054
97401,French Language and Culture 1,97405,French Language and Culture 5,0.9653929064417054
97103,Chinese Language and Culture 3,97106,Chinese Language and Culture 6,0.962728325230088
31005,Machine Learning,32513,Advanced Data Analytics Algorithms,0.9622864103628648
97402,French Language and Culture 2,97406,French Language and Culture 6,0.9613143506623878
97402,French Language and Culture 2,97405,French Language and Culture 5,0.9594893695894708
97801,Italian Language and Culture 1,97803,Italian Language and Culture 3,0.956159712159312
97801,Italian Language and Culture 1,97804,Italian Language and Culture 4,0.9539505044181468
97205,Japanese Language and Culture 5,97206,Japanese Language and Culture 6,0.9536739542166537
97602,German Language and Culture 2,97603,German Language and Culture 3,0.9518681058628348
97501,Spanish Language and Culture 1,97505,Spanish Language and Culture 5,0.9464429580036078
97502,Spanish Language and Culture 2,97505,Spanish Language and Culture 5,0.9464429580036078
97101,Chinese Language and Culture 1,97102,Chinese Language and Culture 2,0.9461981129245142
97202,Japanese Language and Culture 2,97206,Japanese Language and Culture 6,0.9439040656673345
97502,Spanish Language and Culture 2,97506,Spanish Language and Culture 6,0.9438899914840931
97501,Spanish Language and Culture 1,97506,Spanish Language and Culture 6,0.9438899914840931
97204,Japanese Language and Culture 4,97206,Japanese Language and Culture 6,0.9430756128952122
97203,Japanese Language and Culture 3,97205,Japanese Language and Culture 5,0.9429696813207089
97202,Japanese Language and Culture 2,97203,Japanese Language and Culture 3,0.9423775594869792
97203,Japanese Language and Culture 3,97204,Japanese Language and Culture 4,0.9418400538298742
97101,Chinese Language and Culture 1,97105,Chinese Language and Culture 5,0.9405867766790909
97809,Italian Language and Culture 9,CBK90500,Italian Language and Culture,0.9403561557267863
97809,Italian Language and Culture 9,CBK90493,Italian Language and Culture,0.9403561557267863
97410,Places and Spaces of the Francophone World,97408,Show and Tell: Francophone Cultures on Display,0.9403107696865071
97201,Japanese Language and Culture 1,97202,Japanese Language and Culture 2,0.9382494972781441
97101,Chinese Language and Culture 1,97104,Chinese Language and Culture 4,0.9377220896928369
97201,Japanese Language and Culture 1,97204,Japanese Language and Culture 4,0.9357874443366504
97407,Francophone Identities in Conflict,97408,Show and Tell: Francophone Cultures on Display,0.9349880940062857
97101,Chinese Language and Culture 1,97106,Chinese Language and Culture 6,0.9348153856362477
97407,Francophone Identities in Conflict,97410,Places and Spaces of the Francophone World,0.9322218912551777
97201,Japanese Language and Culture 1,97203,Japanese Language and Culture 3,0.9283595827528454
97101,Chinese Language and Culture 1,97103,Chinese Language and Culture 3,0.9260132536983312
97201,Japanese Language and Culture 1,97206,Japanese Language and Culture 6,0.9210976349373386
97203,Japanese Language and Culture 3,97206,Japanese Language and Culture 6,0.9180181990447223
97114,Developing Chinese Reading and Writing Skills 1,97115,Developing Chinese Reading and Writing Skills 2,0.9127441473301651
97105,Chinese Language and Culture 5,97115,Developing Chinese Reading and Writing Skills 2,0.9039947059414506
97201,Japanese Language and Culture 1,97205,Japanese Language and Culture 5,0.9027275433239778
97202,Japanese Language and Culture 2,97205,Japanese Language and Culture 5,0.9014900149735472
97104,Chinese Language and Culture 4,97115,Developing Chinese Reading and Writing Skills 2,0.9012414651624376
97204,Japanese Language and Culture 4,97205,Japanese Language and Culture 5,0.9004341125332149
97102,Chinese Language and Culture 2,97115,Developing Chinese Reading and Writing Skills 2,0.8995223851325405
97106,Chinese Language and Culture 6,97115,Developing Chinese Reading and Writing Skills 2,0.8984478419220889
41043,Natural Language Processing,42850,Natural Language Processing Algorithms,0.8960014193926499
97409,Francophone Cultures of Consumption,97406,French Language and Culture 6,0.8915667720789294
97103,Chinese Language and Culture 3,97115,Developing Chinese Reading and Writing Skills 2,0.8903453212311109
97409,Francophone Cultures of Consumption,97404,French Language and Culture 4,0.8900318951283626
