subject_1_code,subject_1_name,subject_2_code,subject_2_name,similarity_score
97405,French Language and Culture 5,97406,French Language and Culture 6,0.9969717658208539
97401,French Language and Culture 1,97402,French Language and Culture 2,0.9963652550470569
97803,Italian Language and Culture 3,97804,Italian Language and Culture 4,0.996088005056424
97603,German Language and Culture 3,97604,German Language and Culture 4,0.9948880060714355
97601,German Language and Culture 1,97602,German Language and Culture 2,0.9939913924670204
97403,French Language and Culture 3,97404,French Language and Culture 4,0.9939241151979036
97505,Spanish Language and Culture 5,97506,Spanish Language and Culture 6,0.9923837350459498
97601,German Language and Culture 1,97603,German Language and Culture 3,0.9917296555979055
97105,Chinese Language and Culture 5,97106,Chinese Language and Culture 6,0.9895890011477241
97103,Chinese Language and Culture 3,97104,Chinese Language and Culture 4,0.9868159940717812
97601,German Language and Culture 1,97604,German Language and Culture 4,0.986692943554898
97801,Italian Language and Culture 1,97802,Italian Language and Culture 2,0.9843927519501711
97205,Japanese Language and Culture 5,97206,Japanese Language and Culture 6,0.9843174076118963
97102,Chinese Language and Culture 2,97103,Chinese Language and Culture 3,0.9837635147368812
97202,Japanese Language and Culture 2,97203,Japanese Language and Culture 3,0.9835362025164841
97602,German Language and Culture 2,97603,German Language and Culture 3,0.9826204250558545
97401,French Language and Culture 1,97403,French Language and Culture 3,0.9824748621802105
97503,Spanish Language and Culture 3,97504,Spanish Language and Culture 4,0.9816119912549243
97203,Japanese Language and Culture 3,97204,Japanese Language and Culture 4,0.9814451012844458
97501,Spanish Language and Culture 1,97502,Spanish Language and Culture 2,0.9808256813302499
97104,Chinese Language and Culture 4,97106,Chinese Language and Culture 6,0.9789579097783224
97402,French Language and Culture 2,97403,French Language and Culture 3,0.9789038166335073
97202,Japanese Language and Culture 2,97204,Japanese Language and Culture 4,0.9778063563184265
97103,Chinese Language and Culture 3,97105,Chinese Language and Culture 5,0.9766123650066755
97401,French Language and Culture 1,97404,French Language and Culture 4,0.976421866891703
97602,German Language and Culture 2,97604,German Language and Culture 4,0.9753729356615018
97802,Italian Language and Culture 2,97803,Italian Language and Culture 3,0.9753470150929139
97201,Japanese Language and Culture 1,97203,Japanese Language and Culture 3,0.9751671588580415
97801,Italian Language and Culture 1,97804,Italian Language and Culture 4,0.9740168326606711
